epoch,acc,loss,val_acc,val_loss
0,0.6640625,1.190988993,0.815489748,0.439503637
1,0.819661458,0.407404137,0.863325741,0.33788504
2,0.908854167,0.267921904,0.920273348,0.2313826
3,0.921875,0.219010108,0.902050113,0.307188691
4,0.916015625,0.242546802,0.917995442,0.212825445
5,0.926432292,0.209526641,0.92710706,0.207108551
6,0.938151042,0.189389921,0.904328016,0.307061178
7,0.93359375,0.196119188,0.924829157,0.194672026
8,0.938802083,0.18943992,0.929384968,0.196034705
9,0.947916667,0.159173821,0.943052389,0.18618853
10,0.9296875,0.221981234,0.929384964,0.199953403
11,0.942057292,0.168888432,0.938496582,0.173023472
