epoch,acc,loss,val_acc,val_loss
0,0.647786458,1.012620213,0.7357631,0.578736243
1,0.733723958,0.568914562,0.738041001,0.481665844
2,0.791015625,0.472457521,0.82232346,0.396180188
3,0.813802083,0.434284869,0.87699317,0.337089147
4,0.81640625,0.412610898,0.840546699,0.342198199
5,0.875,0.306265234,0.904328016,0.255637928
6,0.880859375,0.335452839,0.904328022,0.25325703
7,0.911458333,0.258282159,0.902050115,0.223897458
8,0.911458333,0.260981044,0.911161732,0.250353628
9,0.921875,0.221103242,0.920273348,0.220605431
10,0.927734375,0.214868647,0.929384967,0.188669273
11,0.940755208,0.190064202,0.913439634,0.231407581
12,0.942057292,0.179775081,0.929384968,0.19291292
13,0.940104167,0.184079345,0.915717541,0.215026662
14,0.944661458,0.181515189,0.931662872,0.182972712
15,0.934895833,0.194858716,0.933940778,0.19001029
16,0.951822917,0.167224574,0.920273349,0.207695621
17,0.943359375,0.176415888,0.938496584,0.179435461
18,0.932942708,0.194621015,0.908883824,0.240826407
19,0.942708333,0.18900361,0.943052391,0.172966719
20,0.946614583,0.166934522,0.933940778,0.17584641
21,0.951822917,0.164397084,0.929384966,0.194651032
22,0.934244792,0.204432883,0.940774486,0.176181225
23,0.948567708,0.162249804,0.940774487,0.164024635
24,0.948567708,0.155483878,0.93849658,0.173271407
25,0.949869792,0.155431146,0.940774491,0.173508295
26,0.950520833,0.151943249,0.933940774,0.181528117
27,0.950520833,0.154687787,0.943052391,0.167633172
28,0.951171875,0.152678705,0.945330293,0.164070905
29,0.955078125,0.154601796,0.943052393,0.171420992
30,0.953776042,0.156660728,0.917995441,0.23238306
31,0.946614583,0.160561789,0.9476082,0.17121971
32,0.95703125,0.141104985,0.947608204,0.171528423
33,0.952473958,0.142576818,0.943052394,0.165343908
