epoch,acc,loss,val_acc,val_loss
0,0.70703125,1.056046003,0.854214122,0.351124068
1,0.862630208,0.339710662,0.87471526,0.338353577
2,0.911458333,0.25496255,0.927107058,0.212225729
3,0.912760417,0.237246495,0.929384966,0.195785783
4,0.936197917,0.205771213,0.908883825,0.277145254
5,0.931640625,0.194502538,0.931662874,0.178767498
6,0.938151042,0.183186301,0.931662868,0.174130289
7,0.939453125,0.187261056,0.902050112,0.269532007
8,0.930338542,0.212019992,0.940774487,0.179699614
9,0.936848958,0.173649084,0.892938495,0.405348564
10,0.940755208,0.200757518,0.924829156,0.208937862
11,0.944661458,0.159862511,0.9476082,0.148396918
12,0.951171875,0.153393699,0.938496587,0.174028383
13,0.954427083,0.140685352,0.945330293,0.13883291
14,0.953776042,0.144049794,0.952164008,0.13531322
15,0.954427083,0.129919982,0.947608203,0.144540801
16,0.954427083,0.142161337,0.954441912,0.13429676
17,0.953125,0.147013813,0.931662869,0.167439137
18,0.956380208,0.140288516,0.95671982,0.120633864
19,0.95703125,0.123078454,0.958997719,0.130589705
20,0.9609375,0.120579245,0.947608203,0.141053678
21,0.960286458,0.119531899,0.961275625,0.135543041
22,0.962890625,0.116539854,0.965831437,0.123685247
23,0.964192708,0.11961526,0.95671982,0.132402167
24,0.958984375,0.119637224,0.958997721,0.129604303
25,0.967447917,0.098885182,0.952164008,0.170315955
26,0.962890625,0.106489613,0.956719817,0.134592075
27,0.960286458,0.122672327,0.963553531,0.126951412
28,0.962890625,0.112174638,0.968109339,0.121460524
