epoch,acc,loss,val_acc,val_loss
0,0.677083333,1.10908934,0.806378136,0.45667634
1,0.841145833,0.384006782,0.88838269,0.268544485
2,0.899088542,0.258451194,0.908883825,0.232012713
3,0.921875,0.232707841,0.89066059,0.288772247
4,0.924479167,0.218825219,0.933940776,0.204230664
5,0.932942708,0.200424562,0.938496587,0.181173026
6,0.945963542,0.164403789,0.931662874,0.214183096
7,0.94140625,0.174423993,0.943052391,0.187570348
8,0.940755208,0.174745942,0.933940776,0.165386636
9,0.947916667,0.153881818,0.943052395,0.187578964
10,0.94921875,0.148656957,0.9476082,0.160881987
11,0.955729167,0.144917251,0.940774487,0.149501354
12,0.955729167,0.130353728,0.924829156,0.228930844
13,0.943359375,0.172102806,0.936218678,0.166151241
14,0.959635417,0.130648452,0.945330295,0.155293178
15,0.947916667,0.147588196,0.945330298,0.174743579
16,0.959635417,0.131836286,0.9453303,0.155462318
17,0.953776042,0.135675924,0.931662869,0.188242706
18,0.959635417,0.120753754,0.947608203,0.16092496
19,0.966145833,0.11603943,0.949886106,0.171965224
20,0.96484375,0.106694547,0.949886104,0.159094338
21,0.94921875,0.160352351,0.915717543,0.216995289
