epoch,acc,loss,val_acc,val_loss
0,0.537163703,1.261523593,0.640091114,0.682253706
1,0.652074783,0.618974831,0.78359909,0.446089702
2,0.773369813,0.497905042,0.692482917,0.610176829
3,0.805745554,0.454689114,0.813211844,0.391061978
4,0.828089375,0.405977867,0.824601364,0.373109788
5,0.839033288,0.381111048,0.854214121,0.323174763
6,0.854537164,0.353888871,0.865603648,0.317664857
7,0.870953032,0.320503828,0.87927107,0.337508689
8,0.899224806,0.273880961,0.833712987,0.392472879
9,0.88873689,0.29693368,0.892938496,0.259777217
10,0.891472868,0.275897983,0.870159456,0.329450224
11,0.909712722,0.237143635,0.86332574,0.468308406
12,0.906520748,0.255816607,0.856492028,0.372208025
13,0.911992704,0.227540874,0.874715263,0.307866421
14,0.921568628,0.20783762,0.922551254,0.221890494
15,0.925672595,0.197567243,0.908883825,0.243282376
16,0.923848609,0.202405409,0.920273348,0.210056792
17,0.950752394,0.150215587,0.902050111,0.317692813
18,0.930688555,0.192994601,0.908883826,0.222243141
19,0.938440493,0.173391497,0.922551252,0.24447253
20,0.957136343,0.143646781,0.933940775,0.19705095
21,0.944824441,0.16196703,0.915717543,0.275009202
22,0.95120839,0.145468763,0.917995445,0.255865991
23,0.949840401,0.15467391,0.931662872,0.194582683
24,0.951664387,0.147213942,0.91571754,0.242763809
25,0.953944368,0.138154844,0.904328019,0.268689883
26,0.954400365,0.126902541,0.913439639,0.232264757
27,0.961696306,0.111343079,0.927107064,0.224949006
28,0.956680347,0.13247455,0.906605926,0.255023199
29,0.954400365,0.150365358,0.911161733,0.218934142
30,0.956680347,0.13273989,0.906605924,0.234814166
31,0.952120383,0.134904157,0.943052389,0.15708251
32,0.962152303,0.110305662,0.931662871,0.186017766
33,0.963520292,0.111859522,0.943052389,0.153448923
34,0.963976288,0.1126973,0.931662868,0.161744752
35,0.96124031,0.126414054,0.938496587,0.211723417
36,0.96124031,0.121797767,0.9476082,0.184233796
37,0.952120383,0.135562456,0.943052391,0.212895412
38,0.962152303,0.127801445,0.915717539,0.203592442
39,0.962608299,0.109920789,0.945330295,0.159492918
40,0.96625627,0.100667703,0.952164011,0.153716742
41,0.960784314,0.128349057,0.949886102,0.15721813
42,0.964432285,0.113672926,0.947608203,0.142773113
43,0.963520292,0.109292216,0.952164011,0.147278062
44,0.965344277,0.104886482,0.9453303,0.143277201
45,0.959416325,0.123060952,0.936218676,0.153216158
46,0.960784314,0.125693815,0.943052394,0.151286722
47,0.968992248,0.102652057,0.9476082,0.144325112
48,0.967168263,0.109827035,0.9476082,0.154020362
49,0.974920201,0.091943421,0.945330293,0.14925057
50,0.967624259,0.106883327,0.940774491,0.170125929
51,0.969904241,0.105677459,0.927107063,0.195075394
52,0.958048336,0.125269026,0.952164006,0.186899962
